team,deep_pass,mid_pass,short_pass,screen_pass,inside_run,outside_run
ARI,1261.84,1226.32,1291.68,1101.04,1108.0,1073.44
BUF,1240.0,1219.92,1293.68,1176.8,1106.64,1104.88
BAL,1334.4,1400.0,1345.44,1184.0,1188.0,1262.32
KC,1235.84,1274.88,1356.08,1115.84,1197.68,1189.76
NO,1195.36,1400.0,1079.84,1086.88,1160.88,1201.92
CAR,1104.16,1221.2,1094.56,1000.0,1083.52,1180.08
DAL,1141.12,1332.32,1104.8,1116.88,1081.6,1213.28
CLE,1093.12,1207.04,1114.48,1061.44,1089.76,1115.2
SEA,1307.2,1305.84,1289.44,1034.08,1085.68,1072.24
DEN,1168.0,1211.36,1182.4,1030.48,1141.52,1134.08
GB,1271.2,1103.68,1257.28,1052.56,1114.72,1169.52
PHI,1248.0,1365.44,1320.08,1030.48,1155.6,1049.2
IND,1200.16,1190.16,1131.2,1026.16,1157.92,1153.28
HOU,1212.16,1346.4,1194.4,1062.4,1059.28,1090.96
MIA,1110.64,1268.72,1175.04,1137.52,1047.28,1096.24
JAX,1292.48,1188.48,1224.16,1081.36,1186.24,1117.92
LA,1335.36,1147.84,1262.8,1068.88,1248.8,1240.88
DET,1336.8,1361.6,1293.68,1178.72,1135.84,1163.76
LAC,1254.0,1400.0,1162.56,1050.4,1104.4,1101.76
LV,1100.32,1278.32,1282.8,1063.6,1084.0,1034.56
NYG,1195.12,1193.28,1167.84,1126.32,1088.32,1167.84
MIN,1400.0,1216.56,1272.88,1051.6,1090.0,1131.04
CIN,1296.8,1362.4,1323.52,1048.24,1068.24,1090.72
NE,1036.24,1202.0,1189.44,1094.56,1127.04,1130.08
NYJ,1257.6,1296.16,1200.16,1096.48,1069.6,1073.92
SF,1349.6,1382.96,1141.44,1061.2,1090.96,1230.96
ATL,1313.6,1305.84,1254.08,1084.24,1153.36,1220.24
PIT,1289.6,1291.2,1202.88,1063.12,1117.52,1121.2
TEN,1187.68,1213.36,1184.4,1000.0,1139.12,1116.0
CHI,1042.72,1268.08,1270.08,1120.48,1211.68,1087.36
TB,1140.64,1335.36,1357.52,1217.2,1159.92,1272.56
WAS,1329.6,1400.0,1228.4,1126.24,1195.84,1154.8
